,City,State,Median Age,Male Population,Female Population,Total Population,Foreign-born,Average Household Size,State Code,CO,NO2,O3,SO2,PM2.5,PM10
307,Mesquite,Texas,34.6,69240.0,75884.0,145124,26755.0,2.96,TX,520.71,45.93,23.25,1.59,6.37,10.18
308,Rio Rancho,New Mexico,38.3,47251.0,46904.0,94155,5200.0,2.86,NM,163.56,0.42,77.96,0.41,3.4,13.79
310,Spring Valley,Nevada,37.0,96808.0,97147.0,193955,61072.0,2.79,NV,350.48,23.31,86.55,1.25,6.64,9.15
312,Fargo,North Dakota,30.7,60560.0,58690.0,119250,9428.0,2.18,ND,223.64,1.78,70.1,0.51,2.38,3.19
314,Antioch,California,34.0,54733.0,55809.0,110542,24942.0,3.31,CA,220.3,2.83,94.41,0.6,1.92,2.13
315,Marysville,Washington,33.2,33436.0,33337.0,66773,7721.0,2.79,WA,320.44,15.42,32.54,5.07,6.39,7.19
316,Sioux City,Iowa,34.3,38827.0,43949.0,82776,7471.0,2.5700000000000003,IA,206.95,1.67,75.82,0.69,2.43,4.0
318,Kennewick,Washington,32.0,38492.0,40411.0,78903,8376.0,2.78,WA,290.39,5.18,49.35,0.44,6.35,9.58
322,Brentwood,New York,34.2,31395.0,32397.0,63792,27058.0,4.98,NY,260.35,10.54,120.16,5.9,10.89,14.86
323,Auburn,Washington,37.1,36837.0,39743.0,76580,14842.0,2.73,WA,233.65,1.67,90.12,1.82,5.79,6.41
325,Pembroke Pines,Florida,40.3,77050.0,89574.0,166624,62210.0,2.94,FL,216.96,2.14,91.55,0.28,4.44,7.01
328,Cicero,Illinois,28.5,43153.0,40714.0,83867,33801.0,3.89,IL,293.73,21.94,52.21,2.12,3.5,4.74
330,Round Rock,Texas,34.9,56646.0,59193.0,115839,18237.0,3.13,TX,247.0,7.03,62.23,0.3,3.72,6.25
332,Concord,California,39.6,62310.0,66358.0,128668,37428.0,2.719999999999999,CA,250.34,8.91,50.78,1.55,3.08,3.59
333,Rio Rancho,New Mexico,38.3,47251.0,46904.0,94155,5200.0,2.86,NM,163.56,0.42,77.96,0.41,3.4,13.79
334,San Bernardino,California,28.5,108671.0,107466.0,216137,55135.0,3.55,CA,400.54,7.71,300.41,10.97,62.44,68.51
335,Evanston,Illinois,36.8,34146.0,41377.0,75523,15003.0,2.29,IL,267.03,15.42,62.23,1.03,2.69,3.75
337,Knoxville,Tennessee,33.1,89978.0,95334.0,185312,10285.0,2.21,TN,240.33,3.51,58.65,2.06,3.73,3.85
339,Milwaukee,Wisconsin,31.6,286315.0,313839.0,600154,58321.0,2.51,WI,287.06,19.71,38.98,0.41,2.1,2.94
344,Vacaville,California,35.8,50091.0,46703.0,96794,10577.0,2.9,CA,226.97,1.76,121.59,0.48,9.55,12.33
345,Corona,California,37.1,79749.0,84493.0,164242,42131.0,2.969999999999999,CA,460.63,15.08,323.3,19.31,61.2,67.82
346,West Jordan,Utah,30.8,57898.0,54044.0,111942,11492.0,3.46,UT,350.48,23.31,128.75,7.09,32.34,37.35
349,Jonesboro,Arkansas,32.6,35666.0,38240.0,73906,3222.0,2.44,AR,240.33,4.11,53.64,0.29,3.69,3.99
350,Springfield,Missouri,34.1,81057.0,85741.0,166798,7765.0,2.12,MO,226.97,4.46,54.36,0.34,1.81,2.08
352,Costa Mesa,California,34.8,59097.0,54089.0,113186,26645.0,2.59,CA,327.11,23.99,164.51,16.69,20.25,25.39
353,Bay,Texas,32.9,37977.0,37508.0,75485,13192.0,2.59,TX,226.97,2.12,55.08,0.3,0.5,0.52
356,Pembroke Pines,Florida,40.3,77050.0,89574.0,166624,62210.0,2.94,FL,216.96,2.14,91.55,0.28,4.44,7.01
359,Chandler,Arizona,35.6,128885.0,131948.0,260833,38721.0,2.78,AZ,257.02,8.48,170.23,3.93,13.44,23.3
360,Columbia,Missouri,26.8,56544.0,62554.0,119098,10729.0,2.37,MO,240.33,2.66,60.8,0.95,4.39,4.63
363,Midland,Texas,32.1,66595.0,66355.0,132950,17061.0,2.78,TX,220.3,6.0,76.53,0.25,3.32,5.98
366,Antioch,California,34.0,54733.0,55809.0,110542,24942.0,3.31,CA,220.3,2.83,94.41,0.6,1.92,2.13
368,Macon,Georgia,36.0,71833.0,81626.0,153459,4846.0,2.46,GA,247.0,3.09,72.96,2.15,5.18,5.64
369,Columbia,Maryland,37.9,52202.0,51265.0,103467,23249.0,2.68,MD,240.33,2.66,60.8,0.95,4.39,4.63
372,Hartford,Connecticut,31.0,58042.0,65972.0,124014,28467.0,2.59,CT,263.69,9.77,53.64,0.97,2.64,3.35
375,Akron,Ohio,38.1,96886.0,100667.0,197553,10024.0,2.24,OH,327.11,14.74,21.82,1.36,3.98,5.19
377,Santa Rosa,California,37.9,86840.0,88149.0,174989,33015.0,2.7,CA,226.97,1.71,111.58,0.54,9.93,12.69
378,Ontario,California,31.0,85059.0,86141.0,171200,48557.0,3.52,CA,423.91,12.0,280.38,14.66,53.85,59.32
380,Saint George,Utah,37.3,38732.0,41475.0,80207,4824.0,2.81,UT,357.15,3.3,75.1,1.49,2.78,5.28
388,Kansas City,Kansas,33.4,74606.0,76655.0,151261,25507.0,2.71,KS,293.73,15.77,72.24,4.53,5.98,7.65
390,Frederick,Maryland,36.1,33146.0,36336.0,69482,14211.0,2.48,MD,297.07,11.48,25.39,0.6,6.32,6.94
401,Chino,California,36.5,50989.0,34610.0,85599,18666.0,3.62,CA,467.3,16.28,323.3,18.84,70.91,77.83
403,Wilmington,Delaware,36.4,32680.0,39277.0,71957,3336.0,2.45,DE,267.03,13.37,60.8,2.44,2.69,3.53
404,El Cajon,California,32.7,54450.0,49238.0,103688,31865.0,3.14,CA,387.19,9.25,246.05,9.78,45.95,53.98
406,Flagstaff,Arizona,23.9,33224.0,37093.0,70317,4262.0,2.55,AZ,168.56,0.36,87.26,0.17,3.9,6.4
407,Saint George,Utah,37.3,38732.0,41475.0,80207,4824.0,2.81,UT,357.15,3.3,75.1,1.49,2.78,5.28
408,Yakima,Washington,34.0,45147.0,48553.0,93700,15717.0,2.74,WA,240.33,4.58,59.37,0.18,3.28,3.76
409,Cedar Rapids,Iowa,36.2,63109.0,67296.0,130405,5404.0,2.32,IA,223.64,2.1,71.53,0.14,2.41,2.65
415,Madison,Wisconsin,30.7,122596.0,126360.0,248956,30090.0,2.23,WI,267.03,13.88,24.32,0.07,1.8,2.34
417,Toledo,Ohio,36.1,135455.0,144323.0,279778,9257.0,2.29,OH,208.62,0.83,80.11,0.34,2.54,4.08
419,North Little Rock,Arkansas,33.6,31671.0,34835.0,66506,2787.0,2.62,AR,283.72,10.11,76.53,1.42,4.64,5.96
421,Fresno,California,30.0,256130.0,263942.0,520072,103453.0,3.12,CA,283.72,6.86,151.63,2.65,20.29,25.1
423,Fullerton,California,34.5,69549.0,71300.0,140849,43404.0,2.969999999999999,CA,514.03,52.09,194.55,20.98,38.15,45.68
428,Omaha,Nebraska,34.2,218789.0,225098.0,443887,48263.0,2.47,NE,247.0,8.05,69.38,0.61,3.34,5.11
429,Roswell,Georgia,38.8,48637.0,45859.0,94496,16501.0,2.7,GA,223.64,1.59,72.24,1.15,2.71,3.16
433,Edmond,Oklahoma,32.5,45191.0,44899.0,90090,5585.0,2.68,OK,208.62,1.95,67.95,0.09,1.68,2.59
435,Erie,Pennsylvania,35.3,48618.0,50852.0,99470,6275.0,2.31,PA,270.37,7.45,49.35,2.83,6.07,6.28
438,O'Fallon,Missouri,36.0,41762.0,43270.0,85032,3269.0,2.77,MO,260.35,7.63,57.22,0.24,2.12,2.63
442,Abilene,Texas,31.3,65212.0,60664.0,125876,8129.0,2.64,TX,213.62,3.0,70.1,0.38,4.01,6.99
443,Muncie,Indiana,27.4,32446.0,37255.0,69701,1062.0,2.35,IN,226.97,4.07,61.51,1.27,1.8,2.0
445,Toledo,Ohio,36.1,135455.0,144323.0,279778,9257.0,2.29,OH,208.62,0.83,80.11,0.34,2.54,4.08
446,Medford,Oregon,38.6,39606.0,40189.0,79795,6185.0,2.65,OR,303.75,24.33,45.42,2.92,4.16,7.04
447,Gilbert,Arizona,33.2,116711.0,130812.0,247523,24531.0,3.2,AZ,226.97,5.48,145.91,2.59,8.82,17.46
449,Spokane Valley,Washington,36.0,49933.0,44975.0,94908,4199.0,2.39,WA,240.33,4.58,77.96,1.13,5.24,8.78
458,Sunnyvale,California,35.7,79480.0,72280.0,151760,71441.0,2.74,CA,226.97,2.79,101.57,1.27,7.67,12.28
460,Lake Forest,California,40.3,41515.0,40982.0,82497,20784.0,2.76,CA,267.03,16.28,47.92,0.62,2.57,3.7
465,San Mateo,California,39.3,50966.0,52558.0,103524,34957.0,2.64,CA,226.97,2.57,86.55,1.06,5.3,11.51
466,Newport Beach,California,46.8,43161.0,43970.0,87131,15318.0,2.4,CA,313.76,23.99,138.76,13.47,14.79,19.29
467,Lubbock,Texas,29.2,122320.0,126731.0,249051,14226.0,2.61,TX,216.96,5.27,82.25,0.3,4.24,8.01
468,Pearland,Texas,33.9,52336.0,59329.0,111665,16882.0,3.0,TX,273.71,10.28,115.87,5.07,6.66,8.74
469,Roseville,California,38.4,62591.0,67691.0,130282,18161.0,2.719999999999999,CA,,,,,,
470,Bryan,Texas,29.4,41761.0,40345.0,82106,12014.0,2.55,TX,213.62,1.61,108.72,0.61,3.3,5.8
471,Alhambra,California,41.0,42184.0,43388.0,85572,44441.0,2.89,CA,427.25,25.02,251.77,13.23,46.77,54.06
473,Edmond,Oklahoma,32.5,45191.0,44899.0,90090,5585.0,2.68,OK,208.62,1.95,67.95,0.09,1.68,2.59
474,Tucson,Arizona,33.6,264893.0,266781.0,531674,82220.0,2.45,AZ,203.61,1.15,118.73,0.69,6.27,16.14
478,Layton,Utah,29.5,37748.0,36394.0,74142,4268.0,3.24,UT,,,,,,
481,Spokane Valley,Washington,36.0,49933.0,44975.0,94908,4199.0,2.39,WA,240.33,4.58,77.96,1.13,5.24,8.78
483,Rancho Cucamonga,California,34.5,88127.0,87105.0,175232,33878.0,3.18,CA,,,,,,
484,Upland,California,39.7,36226.0,40221.0,76447,16552.0,2.77,CA,467.3,16.28,323.3,18.84,70.91,77.83
487,Lansing,Michigan,31.4,54333.0,59777.0,114110,8371.0,2.39,MI,205.28,3.0,30.4,0.27,0.73,0.79
490,Providence,Rhode Island,29.9,89090.0,90114.0,179204,53532.0,2.719999999999999,RI,257.02,10.8,59.37,1.25,3.11,5.05
492,Torrance,California,41.2,73209.0,75259.0,148468,43096.0,2.7,CA,320.44,16.79,150.2,4.17,16.64,21.05
498,Provo,Utah,23.6,56231.0,59027.0,115258,10925.0,3.28,UT,230.31,7.8,86.55,2.0,9.24,13.12
499,Hampton,Virginia,35.5,66214.0,70240.0,136454,6204.0,2.48,VA,353.81,25.36,76.53,1.82,6.56,8.12
500,Birmingham,Alabama,35.6,102122.0,112789.0,214911,8258.0,2.21,AL,277.04,19.71,6.08,4.17,3.36,3.64
502,Spring Valley,Nevada,37.0,96808.0,97147.0,193955,61072.0,2.79,NV,350.48,23.31,86.55,1.25,6.64,9.15
504,Springfield,Massachusetts,31.8,74744.0,79592.0,154336,16226.0,2.81,MA,226.97,4.46,54.36,0.34,1.81,2.08
505,Fort Wayne,Indiana,34.7,124815.0,133329.0,258144,19146.0,2.45,IN,,,,,,
506,Santa Ana,California,30.8,167503.0,167920.0,335423,152999.0,4.58,CA,327.11,23.99,164.51,16.69,20.25,25.39
507,Dayton,Ohio,32.8,66631.0,73966.0,140597,7381.0,2.26,OH,236.99,5.83,50.78,0.81,1.74,1.94
508,Redondo Beach,California,43.0,34855.0,33330.0,68185,13536.0,2.34,CA,367.17,19.54,168.8,5.07,24.12,29.99
510,Bethlehem,Pennsylvania,35.1,35861.0,38506.0,74367,6295.0,2.46,PA,,,,,,
511,Pasadena,California,37.6,67712.0,74534.0,142246,40779.0,2.63,CA,347.14,22.28,170.23,8.94,24.68,29.08
513,Muncie,Indiana,27.4,32446.0,37255.0,69701,1062.0,2.35,IN,226.97,4.07,61.51,1.27,1.8,2.0
515,Compton,California,30.1,49264.0,49184.0,98448,30660.0,4.08,CA,320.44,16.79,150.2,4.17,16.64,21.05
516,Jurupa Valley,California,33.8,49430.0,50884.0,100314,25338.0,3.87,CA,520.71,13.02,363.35,19.07,79.52,87.14
517,Buena Park,California,35.7,41593.0,41671.0,83264,28430.0,3.55,CA,514.03,52.09,194.55,20.98,38.15,45.68
518,Tampa,Florida,35.3,175517.0,193511.0,369028,58795.0,2.47,FL,213.62,2.08,91.55,0.59,2.91,5.1
519,Midland,Texas,32.1,66595.0,66355.0,132950,17061.0,2.78,TX,220.3,6.0,76.53,0.25,3.32,5.98
522,Arlington,Virginia,34.4,113981.0,115183.0,229164,55205.0,2.19,VA,283.72,13.37,77.25,1.39,3.43,4.9
523,Portland,Maine,40.3,31480.0,35392.0,66872,9229.0,2.13,ME,270.37,7.88,44.35,2.71,4.33,5.52
525,Racine,Wisconsin,33.7,39314.0,38423.0,77737,4403.0,2.56,WI,280.38,19.19,55.79,1.62,2.27,2.85
526,Greeley,Colorado,31.0,50792.0,50091.0,100883,11480.0,2.75,CO,,,,,,
528,Longview,Texas,36.8,40065.0,41525.0,81590,8782.0,2.55,TX,236.99,3.43,127.32,6.38,9.18,12.41
529,Sparks,Nevada,36.1,47780.0,48318.0,96098,15690.0,2.63,NV,,,,,,
533,Omaha,Nebraska,34.2,218789.0,225098.0,443887,48263.0,2.47,NE,247.0,8.05,69.38,0.61,3.34,5.11
534,Kenosha,Wisconsin,36.3,49349.0,50507.0,99856,7443.0,2.55,WI,,,,,,
535,Athens-Clarke County unified government,Georgia,26.5,57415.0,65148.0,122563,12868.0,2.44,GA,223.64,1.89,66.52,0.75,2.57,3.27
537,Scranton,Pennsylvania,38.5,37975.0,39137.0,77112,8069.0,2.39,PA,260.35,12.0,71.53,2.21,2.6,3.0
538,Union City,New Jersey,35.4,35376.0,33773.0,69149,40553.0,2.85,NJ,253.68,8.48,98.71,1.64,7.9,13.26
540,El Cajon,California,32.7,54450.0,49238.0,103688,31865.0,3.14,CA,387.19,9.25,246.05,9.78,45.95,53.98
543,East Los Angeles,California,32.6,60460.0,59206.0,119666,49575.0,3.75,CA,427.25,25.02,251.77,13.23,46.77,54.06
544,Saint Louis,Missouri,35.0,153026.0,162659.0,315685,21802.0,2.16,MO,313.76,20.05,36.84,0.53,3.37,4.76
545,Pleasanton,California,41.3,36662.0,42857.0,79519,23208.0,2.87,CA,,,,,,
549,Kirkland,Washington,40.8,42159.0,45108.0,87267,18570.0,2.3,WA,293.73,12.85,41.13,3.1,4.28,6.1
551,Macon,Georgia,36.0,71833.0,81626.0,153459,4846.0,2.46,GA,247.0,3.09,72.96,2.15,5.18,5.64
552,Kennewick,Washington,32.0,38492.0,40411.0,78903,8376.0,2.78,WA,290.39,5.18,49.35,0.44,6.35,9.58
553,Edinburg,Texas,29.3,39422.0,45079.0,84501,16569.0,3.31,TX,240.33,1.86,64.37,0.72,2.19,3.05
556,Marysville,Washington,33.2,33436.0,33337.0,66773,7721.0,2.79,WA,320.44,15.42,32.54,5.07,6.39,7.19
557,Schenectady,New York,36.7,32398.0,32901.0,65299,10961.0,2.8200000000000003,NY,273.71,12.68,38.27,0.76,4.22,4.63
558,Columbus,Georgia,33.7,98785.0,101794.0,200579,10376.0,2.62,GA,263.69,9.08,44.7,1.58,2.15,2.23
559,Erie,Pennsylvania,35.3,48618.0,50852.0,99470,6275.0,2.31,PA,270.37,7.45,49.35,2.83,6.07,6.28
562,Saint Charles,Missouri,34.9,32054.0,36747.0,68801,5274.0,2.33,MO,,,,,,
563,Hartford,Connecticut,31.0,58042.0,65972.0,124014,28467.0,2.59,CT,263.69,9.77,53.64,0.97,2.64,3.35
564,Waldorf,Maryland,33.6,35640.0,39872.0,75512,5954.0,2.69,MD,220.3,6.77,32.19,0.68,1.15,1.51
565,Apple Valley,California,34.3,32873.0,39312.0,72185,5801.0,3.03,CA,250.34,6.94,64.37,0.95,3.75,4.81
567,Jersey City,New Jersey,34.3,131765.0,132512.0,264277,109186.0,2.5700000000000003,NJ,340.46,44.55,39.7,8.23,5.13,6.89
568,Metairie,Louisiana,41.6,69515.0,76943.0,146458,19871.0,2.39,LA,260.35,10.03,158.79,7.99,10.41,11.85
569,Rio Rancho,New Mexico,38.3,47251.0,46904.0,94155,5200.0,2.86,NM,163.56,0.42,77.96,0.41,3.4,13.79
571,Cleveland,Ohio,36.0,186436.0,201623.0,388059,18830.0,2.24,OH,,,,,,
575,Macon,Georgia,36.0,71833.0,81626.0,153459,4846.0,2.46,GA,247.0,3.09,72.96,2.15,5.18,5.64
576,Ellicott City,Maryland,42.4,34406.0,36526.0,70932,17587.0,2.73,MD,313.76,24.33,53.64,3.99,7.53,9.53
581,Allen,Pennsylvania,33.5,60626.0,59581.0,120207,19652.0,2.67,PA,,,,,,
582,German,Maryland,34.9,41115.0,43007.0,84122,27877.0,2.95,MD,196.93,0.67,85.83,6.32,16.55,48.86
583,Pittsburg,California,34.5,33309.0,36118.0,69427,21043.0,3.15,CA,327.11,23.31,10.55,6.26,7.03,7.52
584,New Bedford,Massachusetts,38.6,43793.0,51166.0,94959,19024.0,2.39,MA,233.65,4.07,65.8,1.03,3.0,5.86
587,New Haven,Connecticut,29.9,63765.0,66545.0,130310,25871.0,2.48,CT,247.0,7.54,61.51,0.85,2.41,3.11
590,Springdale,Arkansas,31.8,36840.0,43614.0,80454,19969.0,3.04,AR,267.03,9.08,47.92,1.07,4.29,8.32
591,Kenner,Louisiana,36.9,33993.0,33113.0,67106,12352.0,2.5700000000000003,LA,,,,,,
594,Tulsa,Oklahoma,35.0,197437.0,205654.0,403091,43751.0,2.37,OK,440.6,38.04,27.9,2.44,5.65,6.81
595,Eagan,Minnesota,36.8,31587.0,34701.0,66288,8642.0,2.49,MN,343.8,30.5,40.77,3.37,5.89,7.35
596,Houston,Texas,32.6,1149686.0,1148942.0,2298628,696210.0,2.66,TX,,,,,,
598,Beaverton,Oregon,35.6,47325.0,49252.0,96577,18933.0,2.46,OR,243.66,5.1,60.8,1.74,4.22,5.07
599,Brandon,Florida,36.1,55679.0,58289.0,113968,16390.0,2.64,FL,,,,,,
600,Wichita Falls,Texas,34.0,55775.0,48934.0,104709,9855.0,2.41,TX,307.08,16.11,53.64,0.31,5.96,7.6
601,Mission,Texas,32.9,40530.0,42777.0,83307,22608.0,3.51,TX,216.96,0.75,100.14,0.63,8.38,9.93
602,Orange,California,35.0,67337.0,73658.0,140995,34550.0,3.14,CA,,,,,,
603,Enterprise,Nevada,34.1,69146.0,66328.0,135474,31173.0,2.89,NV,,,,,,
604,Temple,Texas,33.6,33512.0,38785.0,72297,3968.0,2.59,TX,,,,,,
605,Poinciana,Florida,34.2,38142.0,35801.0,73943,14349.0,3.93,FL,213.62,3.13,94.41,0.61,3.04,4.48
606,Dothan,Alabama,38.9,32172.0,35364.0,67536,1699.0,2.59,AL,220.3,1.11,84.4,0.57,4.01,4.88
608,Montgomery,Alabama,35.4,94582.0,106004.0,200586,9337.0,2.41,AL,,,,,,
610,Silver Spring,Maryland,33.8,40601.0,41862.0,82463,30908.0,2.6,MD,,,,,,
611,San Marcos,California,35.4,45246.0,47688.0,92934,21558.0,3.13,CA,223.64,4.16,70.81,0.3,2.5,4.82
612,Denver,Colorado,34.1,341137.0,341408.0,682545,113222.0,2.33,CO,,,,,,
613,Round Rock,Texas,34.9,56646.0,59193.0,115839,18237.0,3.13,TX,247.0,7.03,62.23,0.3,3.72,6.25
617,Wichita Falls,Texas,34.0,55775.0,48934.0,104709,9855.0,2.41,TX,307.08,16.11,53.64,0.31,5.96,7.6
618,Denver,Colorado,34.1,341137.0,341408.0,682545,113222.0,2.33,CO,,,,,,
620,Yorba Linda,California,45.5,31960.0,36006.0,67966,15532.0,3.0,CA,,,,,,
621,Sunrise Manor,Nevada,32.5,93505.0,99103.0,192608,56530.0,3.25,NV,270.37,21.94,124.45,6.5,12.13,29.27
622,San Mateo,California,39.3,50966.0,52558.0,103524,34957.0,2.64,CA,226.97,2.57,86.55,1.06,5.3,11.51
626,Farmington Hills,Michigan,42.1,37527.0,43805.0,81332,18033.0,2.41,MI,273.71,6.0,37.91,0.69,2.8,3.03
628,Fullerton,California,34.5,69549.0,71300.0,140849,43404.0,2.969999999999999,CA,514.03,52.09,194.55,20.98,38.15,45.68
631,Visalia,California,32.6,63695.0,66399.0,130094,20779.0,3.11,CA,297.07,8.23,118.73,0.95,20.31,25.48
632,Pueblo,Colorado,37.6,55635.0,53784.0,109419,3578.0,2.44,CO,,,,,,
633,Davis,California,26.3,33493.0,34163.0,67656,13997.0,2.69,CA,233.65,1.71,143.05,0.32,13.34,15.57
635,Westminster,Colorado,37.8,54866.0,58251.0,113117,11361.0,2.63,CO,260.35,30.5,0.53,8.23,5.25,5.92
638,Madison,Wisconsin,30.7,122596.0,126360.0,248956,30090.0,2.23,WI,267.03,13.88,24.32,0.07,1.8,2.34
639,Murrieta,California,35.3,49363.0,60453.0,109816,19875.0,3.3,CA,353.81,5.14,237.47,8.7,38.39,43.48
